text,class
designation,noise
tableaux modernes,category
boldini,author
casas,author
charmy,author
dumont ((henri,author
forain,author
harpignies,author
helleu,author
madrazzo (attribue a,author
ranft (richard,author
rusinol,author
rusinol (santiago),author
tableaux - dessins - aquarelles,category
ecole francaise (xviiideg siecle),ecole
ecole italienne (xixe siecle,ecole
finck,author
tony fevre,author
vernet (j.) ((ecole de,author
watteau (d'apres,author
wilkinson (h.,author
gravures,category
boucher (f.) (d'apres,author
panini (d'apres,author
reynolds (d'apres,author
watteau (a.) d'apres,author
"faiences et porcelaines
anciennes",category
objets divers,category
argenterie,category
sculptures,category
pendules,category
lustres - bronzes,category
sieges,category
meubles,category
tapis,category
tapisseries,category
"aquarelles, pastels, gouachesdessins, lithographies",category
asselin,author
berard,author
frank-boggs,author
bottini (georges,author
boudin (eugene,author
carriere (eugene,author
cezanne (paul,author
cross (h.-e.),author
daumier (honore,author
degas (edgar,author
delacroix (eugene,author
derain (andre),author
dufresne (charles,author
dufy (raoul,author
filliger,noise
forain (j.-l.,author
foujita,author
fresnaye (roger de la),author
gauguin (paul,author
gericault,author
gimmi (w.,author
gondouin (henri),author
guillaumin (armand,author
guys (constantin,author
max-jacob,author
jongkind (j.-b.,author
laurencin (marie),author
lebourg (albert,author
lepine (s.,author
lotiron (robert),author
luce (maximilien,author
manet (edouard,author
henri-matisse,author
millet (j.-f.i,author
"i
modigliani (amedee",author
henri-monnier,author
moreau (gustave,author
pissarro (camille,author
picasso (pablo),author
picasso (pablo,author
renoir (auguste),author
rodin (auguste,author
rouault (georges,author
rousseau (theodore,author
seguin (armand,author
toulouse-lautrec (henri de,author
truffaut (georges,author
peintures,category
chirico (g. de,author
couture (thomas,author
dufrenoy,author
dufy (jean,author
dumont (pierre,author
favory (andre,author
fraye (andre,author
fraye (andre),author
friesz (emile-othon,author
goerg,author
guerin (charles,author
ibels (h.-s.),author
kisling (moise,author
kono (micao),author
kvapil (charles,author
laprade (pierre,author
leger (fernand,author
leprin,author
lotiron (robert,author
ortiz (manuel,author
palmeiro,author
pequin,author
perrier (arthur,author
puvis de chavannes,author
puy (jean,author
renoir (auguste,author
segonzac (a. dunoyer de,author
soutine (charles,author
valadon (suzanne,author
valtat (l.,author
"ra
vlaminck (maurice de)",author
sculptures negres,category
table aux,category
berchere,author
delahagne,author
dupray (h.,author
frere (th.,author
